BranchID,TerminalOrder,PathPointIndex,PathEdgeIndex,SourceCurveIndex,CurvePointIndex,X_mm,Y_mm,Z_mm,SegmentLength_mm,CumulativeLength_mm,NormalizedProgress,IsTerminalSegment,Terminal_X_mm,Terminal_Y_mm,Terminal_Z_mm,TotalPathLength_mm,PathEdgeCount
Branch_003,3,18,0,9,18,12.395549000,-9.250117300,42.023792000,4.184384566,87.066471190,0.466028654,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,19,0,9,19,13.428562000,-7.010438900,42.358051000,2.488976551,89.555447741,0.479351055,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,20,1,8,1,16.282339000,-1.562926900,43.212620000,6.208841948,95.764289689,0.512584264,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,21,1,8,2,18.643381000,2.404393400,43.881081000,4.664867608,100.429157296,0.537553255,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,22,1,8,3,21.147991000,6.488432400,44.652599000,4.852595783,105.281753079,0.563527073,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,23,1,8,4,24.223534000,11.405412000,45.843182000,5.920569315,111.202322394,0.595217286,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,24,2,21,1,27.690271000,9.568561600,45.976391000,3.925561037,115.127883431,0.616229093,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,25,2,21,2,30.500639000,8.436563500,45.614300000,3.051343620,118.179227051,0.632561598,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,26,2,21,3,33.836395000,7.302638100,44.907448000,3.593423807,121.772650857,0.651795620,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,27,2,21,4,37.648449000,5.861568000,44.297165000,4.120786827,125.893437684,0.673852386,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,28,2,21,5,41.557293000,4.180810000,43.965683000,4.267773329,130.161211013,0.696695906,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,29,2,21,6,45.247955000,2.346591900,44.046879000,4.122127464,134.283338477,0.718759847,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,30,2,21,7,48.516773000,0.457833470,44.605518000,3.816366997,138.099705474,0.739187187,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,31,2,21,8,51.288979000,-1.384460900,45.637222000,3.484765099,141.584470573,0.757839607,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,32,2,21,9,53.190578000,-2.784993900,46.827793000,2.644812044,144.229282617,0.771996126,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,33,3,20,1,55.586220000,-4.596087500,48.883541000,3.639403860,147.868686477,0.791476260,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,34,3,20,2,57.378574000,-5.870704200,50.964619000,3.027881476,150.896567954,0.807683182,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,35,3,20,3,59.110535000,-6.922920200,53.305656000,3.096336812,153.992904765,0.824256516,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,36,3,20,4,61.685532000,-8.151027700,57.298828000,4.907573759,158.900478525,0.850524607,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,37,4,19,1,62.618176000,-8.550990100,58.847027000,1.851138811,160.751617335,0.860432941,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,38,4,19,2,63.963196000,-9.102930100,61.391586000,2.930613770,163.682231105,0.876119232,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,39,5,18,1,65.948616000,-9.976252600,65.706612000,4.829496262,168.511727367,0.901969409,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,40,5,18,2,67.338921000,-10.727242000,69.531403000,4.138352240,172.650079608,0.924120194,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,41,5,18,3,68.356697000,-11.435657000,73.069717000,3.749318039,176.399397647,0.944188650,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,42,6,17,1,69.271095000,-12.258317000,77.063965000,4.179343281,180.578740928,0.966558843,1,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,43,6,17,2,69.814026000,-12.924428000,80.195862000,3.247654038,183.826394967,0.983942111,1,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,44,6,17,3,70.201263000,-13.558737000,83.102394000,3.000038111,186.826433078,1.000000000,1,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_004,4,0,0,9,0,9.155164700,-94.828995000,43.316994000,0.000000000,0.000000000,0.000000000,0,-48.494358000,-35.608982000,36.598019000,234.608052350,7
Branch_004,4,1,0,9,1,8.745691300,-90.524384000,41.931053000,4.540724257,4.540724257,0.019354512,0,-48.494358000,-35.608982000,36.598019000,234.608052350,7
Branch_004,4,2,0,9,2,8.447949400,-85.977066000,40.628029000,4.739685937,9.280410194,0.039557083,0,-48.494358000,-35.608982000,36.598019000,234.608052350,7
Branch_004,4,3,0,9,3,8.306425100,-80.784424000,39.387024000,5.340754018,14.621164212,0.062321664,0,-48.494358000,-35.608982000,36.598019000,234.608052350,7
Branch_004,4,4,0,9,4,8.427463500,-75.420364000,38.457928000,5.445274039,20.066438250,0.085531754,0,-48.494358000,-35.608982000,36.598019000,234.608052350,7
Branch_004,4,5,0,9,5,8.845435100,-70.229225000,37.995411000,5.228436320,25.294874570,0.107817589,0,-48.494358000,-35.608982000,36.598019000,234.608052350,7
